"Letöltés idõpontja";"2017.06.08. 23:43"
"Alap neve:";"Concorde Kötvény Befektetési Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Hosszú kötvény"
"Földrajzi kitettség:";"Hazai"
"Devizális kitettség:";"HUF"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";"Az Alapkezelõ célja, hogy a befektetési lehetõségek figyelembevételével az Alap portfoliójának döntõ többségét forintban denominált fix vagy változó kamatozású, alacsony kockázatú értékpapírokba fektetve a referenciaindex teljesítményét meghaladó hozamot érjen el. Az Alapkezelõ elsõsorban a magyar állampapírpiaci befektetéseket szeretné alacsony költségszint mellett a Befektetési Jegyek tulajdonosainak elérhetõvé tenni.

Az Alapkezelõ az Alap eszközeit legfõképpen a Magyar Állam által kibocsátott államkötvényekben és diszkontkincstárjegyekben, igyekszik tartani, valamint alacsony kockázatú fix és változó kamatozású vállalati kötvényekbe, jelzáloglevelekbe, egyéb hitelviszonyt megtestesítõ értékpapírokba és egyéb alacsony kockázatú tõke- és pénzpiaci eszközökbe, ügyletekbe fektetheti.

Megfelelõ nemzetközi tõkepiaci környezet esetén az Alap portfoliójának 30%-ig külföldi (kizárólag OECD tagállam, illetve ottani székhelyû) kibocsátó által kibocsátott állampapírokat, vállalati és egyéb kötvényeket, jelzálogleveleket vásárolhat az Alapkezelõ. A belföldi és külföldi részvények együttes aránya az Alap portfolióján belül nem haladhatja meg az Alap nettó eszközértékének 10%-át. Az Alapkezelõ az Alap nevében csak olyan származtatott ügyletet köthet, amely csökkenti a külföldi befektetések devizakockázatát, a részvények árfolyamkockázatát, valamint a kötvények kamatlábkockázatát (fedezeti ügylet), illetve arbitrázs célokat szolgál, továbbá az árfolyamkockázatot csökkenti. A származtatott ügyletek nem nettósított, összesített értéke az Alap nettó eszközértékének 30%-át nem haladhatja meg. E korlátba nem számítandó bele az árfolyamkockázat csökkentésére kötött származtatott ügylet és a hitelintézettel állampapírra kötött repó ügylet."
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"2001/03/29"
"Alapkezelõ:";"Concorde Alapkezelõ Zrt."
"Letétkezelõ:";"Raiffeisen Bank Zrt."
"1 éves szórás:";"3,6%"
"5 éves szórás:";"4,13%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/06/07";"3,50626";"7909566168";"0";"799196,73";"0,01%";"2,34%";"2,67%";"4,93%";"5,5%";"9,4%";"8,16%"
"2017/06/06";"3,505552";"7907169997";"0";"-5752808,55";"-0,07%";"2,32%";"2,98%";"4,99%";"5,49%";"9,64%";"8,11%"
"2017/06/02";"3,504414";"7910354050";"0";"4121225,33";"0,05%";"2,37%";"3,29%";"5,18%";"5,65%";"9,76%";"8,1%"
"2017/06/01";"3,504329";"7906041058";"0";"5168931,29";"0,07%";"2,28%";"3,01%";"5,13%";"5,84%";"9,76%";"8,1%"
"2017/05/31";"3,50629";"7905293404";"0";"-14453514,18";"-0,18%";"2,07%";"2,68%";"5,18%";"5,86%";"9,67%";"8,12%"
"2017/05/30";"3,506236";"7919624947";"0";"-6040724,46";"-0,08%";"2,06%";"2,68%";"5,02%";"5,86%";"9,61%";"8,12%"
"2017/05/29";"3,50417";"7920995585";"0";"9912797,56";"0,13%";"2%";"2,74%";"4,99%";"5,84%";"9,54%";"8,12%"
"2017/05/26";"3,508122";"7920004900";"0";"5531325,17";"0,07%";"2,36%";"3,3%";"5,14%";"6%";"9,57%";"8,13%"
"2017/05/25";"3,508266";"7914798445";"0";"13423712,16";"0,17%";"2,36%";"3,31%";"5,05%";"6,12%";"9,57%";"8,13%"
"2017/05/24";"3,506124";"7896550485";"0";"-3300419,27";"-0,04%";"2,3%";"3,36%";"4,77%";"6,1%";"9,57%";"8,12%"
"2017/05/23";"3,498363";"7882364146";"0";"-11124729,02";"-0,14%";"2,08%";"3,28%";"4,53%";"6,02%";"9,56%";"8,08%"
"2017/05/22";"3,495853";"7887825467";"0";"2073371,4";"0,03%";"2,15%";"3,18%";"4,75%";"6,09%";"9,47%";"8,1%"
"2017/05/19";"3,491957";"7876963714";"0";"-7705150,78";"-0,1%";"2,22%";"3,47%";"4,85%";"6,02%";"9,51%";"8,1%"
"2017/05/18";"3,495382";"7892402348";"0";"5517269,14";"0,07%";"2,32%";"3,58%";"4,66%";"6,03%";"9,53%";"8,11%"
"2017/05/17";"3,494264";"7884362454";"0";"-533001,88";"-0,01%";"2,29%";"3,27%";"4,62%";"6,02%";"9,5%";"8,09%"
"2017/05/16";"3,497163";"7891437123";"0";"-4095137,17";"-0,05%";"2,45%";"3,41%";"4,74%";"6,05%";"9,49%";"8,1%"
"2017/05/15";"3,492065";"7884022524";"0";"-3383495,61";"-0,04%";"2,25%";"2,95%";"4,58%";"5,85%";"9,32%";"8,08%"
"2017/05/12";"3,488625";"7879636211";"0";"7954529,59";"0,1%";"1,93%";"2,61%";"4,26%";"6,25%";"9,31%";"8,09%"
"2017/05/11";"3,487318";"7868732586";"0";"-7346701,75";"-0,09%";"1,9%";"2,57%";"4,18%";"6,25%";"9,3%";"8,08%"
"2017/05/10";"3,481274";"7862428963";"0";"3694322,31";"0,05%";"1,72%";"2,2%";"3,9%";"6,19%";"9,25%";"8,04%"
"2017/05/09";"3,472776";"7839550995";"0";"-1810513,31";"-0,02%";"1,43%";"1,1%";"3,45%";"6,1%";"9,21%";"8%"
"2017/05/08";"3,471595";"7838694867";"0";"2985742,6";"0,04%";"1,51%";"0,94%";"3,42%";"6,12%";"9,19%";"8%"
"2017/05/05";"3,466316";"7823793936";"0";"11648764,91";"0,15%";"1,14%";"0,73%";"3,5%";"6,27%";"9,1%";"8,03%"
"2017/05/04";"3,464615";"7808311574";"0";"-32517831,79";"-0,41%";"1,09%";"0,68%";"3,56%";"6,24%";"9,09%";"8,02%"
"2017/05/03";"3,466231";"7844486603";"0";"-6177901,79";"-0,08%";"1,14%";"0,69%";"3,39%";"6,25%";"9,11%";"8,06%"
"2017/05/02";"3,464062";"7845751938";"0";"-87883,83";"-0%";"0,96%";"0,62%";"3,44%";"6,23%";"9,12%";"8,05%"
"2017/04/28";"3,46612";"7850501037";"0";"-6035725,65";"-0,08%";"1,02%";"0,59%";"3,26%";"6,53%";"9,17%";"8,05%"
"2017/04/27";"3,459422";"7841354633";"0";"-627927,6";"-0,01%";"0,83%";"0,31%";"2,83%";"6,43%";"9,12%";"8,03%"
"2017/04/26";"3,452653";"7826638269";"0";"-3622791,01";"-0,05%";"0,62%";"-0,05%";"1,95%";"6,36%";"9,1%";"8,03%"
"2017/04/25";"3,45728";"7840754619";"0";"-1278543,12";"-0,02%";"0,78%";"-0,03%";"1,91%";"6,41%";"9,13%";"8,05%"
"2017/04/24";"3,453789";"7834114643";"0";"-13508644,37";"-0,17%";"0,58%";"-0,08%";"1,76%";"6,37%";"9,59%";"8,04%"
"2017/04/21";"3,454169";"7848486715";"0";"3096557,08";"0,04%";"0,72%";"0,12%";"1,66%";"6,59%";"9,58%";"8,05%"
"2017/04/20";"3,457576";"7853128414";"0";"-4380877,52";"-0,06%";"0,82%";"0,39%";"1,77%";"6,62%";"9,6%";"8,06%"
"2017/04/19";"3,460295";"7863688351";"0";"-17758215,04";"-0,23%";"0,74%";"0,65%";"1,82%";"6,65%";"9,62%";"8,08%"
"2017/04/18";"3,457312";"7874652245";"0";"-4958367,18";"-0,06%";"0,68%";"0,72%";"1,9%";"6,62%";"9,64%";"8,07%"
"2017/04/13";"3,455776";"7876109892";"0";"-13823869,38";"-0,18%";"0,48%";"0,82%";"1,84%";"6,56%";"9,67%";"8,08%"
"2017/04/12";"3,451831";"7880926873";"0";"13246030,8";"0,17%";"0,33%";"0,76%";"2,12%";"6,52%";"9,59%";"8,06%"
"2017/04/11";"3,450843";"7865428916";"0";"1837676,74";"0,02%";"0,46%";"0,66%";"2,11%";"6,51%";"9,64%";"8,1%"
"2017/04/10";"3,450044";"7861770522";"0";"-16481870,3";"-0,21%";"0,7%";"0,49%";"2,44%";"6,49%";"9,68%";"8,12%"
"2017/04/07";"3,449111";"7876121866";"0";"-8759564,1";"-0,11%";"0,05%";"0,43%";"2,26%";"6,58%";"9,68%";"8,11%"
"2017/04/06";"3,453177";"7894176558";"0";"-16722191,46";"-0,21%";"0,17%";"0,26%";"2,33%";"6,63%";"9,71%";"8,12%"
"2017/04/05";"3,452742";"7909902206";"0";"-4762625,89";"-0,06%";"-0,05%";"0,24%";"2,15%";"6,63%";"9,7%";"8,13%"
"2017/04/04";"3,455645";"7921319332";"0";"3774318,8";"0,05%";"0,04%";"0,24%";"2,08%";"6,66%";"9,72%";"8,14%"
"2017/04/03";"3,459651";"7926723527";"0";"-17350095,91";"-0,22%";"0,04%";"0,35%";"2,15%";"6,75%";"9,68%";"8,15%"
"2017/03/31";"3,456114";"7935951940";"0";"-22874624,98";"-0,29%";"-0,17%";"0,23%";"1,9%";"6,71%";"9,76%";"8,14%"
"2017/03/30";"3,448921";"7942262343";"0";"-12090022,62";"-0,15%";"-0,38%";"0,03%";"1,58%";"6,69%";"9,71%";"8,12%"
"2017/03/29";"3,44461";"7944409774";"0";"-3578372,46";"-0,05%";"-0,45%";"-0,16%";"1,53%";"6,65%";"9,64%";"8,12%"
"2017/03/28";"3,438344";"7933530169";"0";"-28662409,9";"-0,36%";"-0,57%";"-0,32%";"1,43%";"6,58%";"9,59%";"8,1%"
"2017/03/27";"3,44081";"7967903109";"0";"-21784253,53";"-0,27%";"-0,46%";"-0,38%";"1,51%";"6,76%";"9,57%";"8,11%"
"2017/03/24";"3,431877";"7968944608";"0";"-8045214,74";"-0,1%";"-0,8%";"-0,63%";"1,24%";"6,71%";"9,55%";"8,09%"
"2017/03/23";"3,425999";"7963327111";"0";"-50289683,37";"-0,63%";"-0,97%";"-0,8%";"1,11%";"6,62%";"9,51%";"8,07%"
"2017/03/22";"3,420949";"8001804542";"0";"3394777,41";"0,04%";"-1,05%";"-0,93%";"1,44%";"6,57%";"9,46%";"8,06%"
"2017/03/21";"3,407612";"7967226958";"0";"211222495,38";"2,72%";"-1,5%";"-1,2%";"0,95%";"6,43%";"9,35%";"8,02%"
"2017/03/20";"3,408543";"7758123495";"0";"-8127189,28";"-0,1%";"-1,08%";"-1,17%";"1,19%";"6,46%";"9,35%";"8,04%"
"2017/03/17";"3,406632";"7761896535";"0";"-7241835,77";"-0,09%";"-0,62%";"-0,76%";"1,21%";"6,61%";"9,32%";"8,11%"
"2017/03/16";"3,40709";"7770182882";"0";"-24561053,16";"-0,32%";"-0,6%";"-0,74%";"1,44%";"6,66%";"9,32%";"8,12%"
"2017/03/14";"3,406533";"7793469630";"0";"15895866,65";"0,2%";"-0,7%";"-0,66%";"1,58%";"6,65%";"9,32%";"8,11%"
"2017/03/13";"3,40777";"7780398001";"0";"-4007267,72";"-0,05%";"-0,63%";"-0,7%";"1,62%";"6,63%";"9,35%";"8,11%"
"2017/03/10";"3,404732";"7777465533";"0";"-1552108,72";"-0,02%";"-0,45%";"-0,78%";"1,43%";"6,65%";"9,35%";"8,11%"
"2017/03/09";"3,414714";"7801824181";"0";"-48462684,35";"-0,62%";"-0,16%";"-0,49%";"2,16%";"6,66%";"9,41%";"8,14%"
"2017/03/08";"3,421109";"7864988707";"0";"-34418808,36";"-0,44%";"0,04%";"-0,45%";"2,25%";"6,72%";"9,46%";"8,19%"
"2017/03/07";"3,426107";"7910947995";"0";"-17334994,02";"-0,22%";"0,32%";"-0,19%";"2,23%";"6,78%";"9,48%";"8,22%"
"2017/03/06";"3,42593";"7927873397";"0";"-3001235,89";"-0,04%";"0,64%";"0,02%";"2,4%";"6,75%";"9,5%";"8,23%"
"2017/03/03";"3,423492";"7925230772";"0";"-12156786,3";"-0,15%";"0,91%";"0,08%";"2,37%";"7,11%";"9,45%";"8,23%"
"2017/03/02";"3,423363";"7937088471";"0";"-21300507,41";"-0,27%";"0,91%";"0,07%";"2,39%";"7,02%";"9,45%";"8,23%"
"2017/03/01";"3,426048";"7964630874";"0";"-11588616,06";"-0,14%";"0,71%";"-0,12%";"2,29%";"7,05%";"9,42%";"8,24%"
"2017/02/28";"3,435313";"7997789437";"0";"-6393148,9";"-0,08%";"0,86%";"0,1%";"2,76%";"7,15%";"9,68%";"8,27%"
"2017/02/27";"3,432574";"7997800793";"0";"-23066045,06";"-0,29%";"1,08%";"0,02%";"2,68%";"7,14%";"9,72%";"8,25%"
"2017/02/24";"3,427318";"8008585187";"0";"-18134649,16";"-0,23%";"1,04%";"-0,28%";"2,44%";"7,08%";"9,64%";"8,24%"
"2017/02/23";"3,427211";"8026469244";"0";"-10923009,21";"-0,14%";"1,18%";"-0,29%";"2,81%";"7,09%";"9,7%";"8,24%"
"2017/02/22";"3,422226";"8025701581";"0";"507611,55";"0,01%";"1,01%";"-0,49%";"2,67%";"7,04%";"9,66%";"8,23%"
"2017/02/21";"3,417627";"8014409215";"0";"328443,56";"0%";"1,19%";"-0,63%";"2,75%";"6,99%";"9,46%";"8,21%"
"2017/02/20";"3,415968";"8010190540";"0";"-40515362,8";"-0,5%";"1,22%";"-0,68%";"2,7%";"7,15%";"9,38%";"8,2%"
"2017/02/17";"3,416112";"8051045280";"0";"-59338307,14";"-0,73%";"0,96%";"-0,5%";"2,87%";"6,94%";"9,44%";"8,22%"
"2017/02/16";"3,413698";"8104652374";"0";"-33194753,18";"-0,41%";"0,94%";"-0,67%";"2,77%";"6,89%";"9,42%";"8,21%"
"2017/02/15";"3,415269";"8141592203";"0";"-1757654,93";"-0,02%";"0,69%";"-0,59%";"2,91%";"6,9%";"9,36%";"8,22%"
"2017/02/14";"3,418526";"8151115832";"0";"-5062555,45";"-0,06%";"1,07%";"-0,35%";"3,18%";"6,94%";"9,57%";"8,25%"
"2017/02/13";"3,41667";"8151750202";"0";"-13288679,65";"-0,16%";"0,5%";"-0,4%";"3,13%";"6,92%";"9,52%";"8,25%"
"2017/02/10";"3,422404";"8178741795";"0";"-740462,5";"-0,01%";"0,47%";"-0,12%";"3,38%";"7,07%";"9,69%";"8,26%"
"2017/02/09";"3,423945";"8183165219";"0";"-82193320,99";"-1%";"-0,32%";"0,06%";"3,44%";"7,02%";"9,61%";"8,27%"
"2017/02/08";"3,420037";"8255924679";"0";"917110,11";"0,01%";"-0,56%";"0,11%";"3,05%";"6,98%";"9,54%";"8,25%"
"2017/02/07";"3,421107";"8257590248";"0";"-3530746,11";"-0,04%";"-0,66%";"0,16%";"3,04%";"6,99%";"9,7%";"8,26%"
"2017/02/06";"3,423363";"8266568672";"0";"-18736633,32";"-0,23%";"-0,52%";"0,23%";"3,11%";"7,03%";"9,73%";"8,27%"
"2017/02/03";"3,427299";"8294831307";"0";"-3962815,78";"-0,05%";"-0,44%";"0,48%";"2,98%";"7,26%";"9,91%";"8,3%"
"2017/02/02";"3,431076";"8307939676";"";"-22529485,52";"-0,27%";"-0,34%";"0,27%";"3,18%";"7,35%";"9,99%";"8,31%"
"2017/02/01";"3,431067";"8330447310";"";"-21625109,83";"-0,26%";"-0,43%";"0,04%";"3,06%";"7,35%";"10,11%";"8,31%"
"2017/01/31";"3,436138";"8364416498";"0";"-8602974,46";"-0,1%";"-0,28%";"0,25%";"3,68%";"7,41%";"10,19%";"8,35%"
"2017/01/30";"3,431351";"8361354736";"0";"33130,33";"0%";"-0,42%";"0,11%";"3,54%";"7,29%";"10,15%";"8,35%"
"2017/01/27";"3,431003";"8360473619";"0";"-7300327,17";"-0,09%";"-0,51%";"0,38%";"4,31%";"6,86%";"10,07%";"8,35%"
"2017/01/26";"3,431237";"8368344642";"0";"2120548,39";"0,03%";"-0,67%";"0,39%";"4,4%";"6,86%";"10,1%";"8,35%"
"2017/01/25";"3,430547";"8364541699";"0";"-1968090,73";"-0,02%";"-0,8%";"0,61%";"4,32%";"6,85%";"10,23%";"8,35%"
"2017/01/24";"3,433974";"8374867649";"0";"-2446365,9";"-0,03%";"-0,66%";"0,74%";"4,42%";"6,89%";"10,38%";"8,37%"
"2017/01/23";"3,431882";"8372210499";"0";"-495839,97";"-0,01%";"-0,53%";"0,68%";"4,36%";"6,63%";"10,48%";"8,36%"
"2017/01/20";"3,429565";"8367053592";"0";"-1787914,74";"-0,02%";"-0,43%";"0,45%";"4,28%";"6,65%";"10,63%";"8,31%"
"2017/01/19";"3,434743";"8381476888";"0";"807484,8";"0,01%";"-0,09%";"0,38%";"4,72%";"6,65%";"10,68%";"8,33%"
"2017/01/18";"3,43392";"8378661308";"0";"6412857,7";"0,08%";"0,04%";"0,3%";"4,6%";"6,64%";"10,8%";"8,35%"
"2017/01/17";"3,438626";"8383722160";"0";"10868409,35";"0,13%";"0,35%";"0,29%";"4,56%";"6,69%";"10,98%";"8,36%"
"2017/01/16";"3,434608";"8363070155";"0";"-11016287,63";"-0,13%";"0,24%";"0,17%";"4,44%";"6,78%";"10,94%";"8,33%"
"2017/01/13";"3,439372";"8385701785";"0";"-27122595,75";"-0,32%";"0,35%";"0,67%";"4,58%";"6,87%";"10,88%";"8,39%"
"2017/01/12";"3,440464";"8415495451";"0";"21219609,41";"0,25%";"0,43%";"0,71%";"4,95%";"6,99%";"10,77%";"8,39%"
"2017/01/11";"3,435153";"8381317706";"0";"-4692240,23";"-0,06%";"0,21%";"0,79%";"5,22%";"6,93%";"10,89%";"8,36%"
"2017/01/10";"3,426027";"8363731251";"0";"-2142237,47";"-0,03%";"-0,21%";"0,56%";"4,95%";"6,84%";"11,01%";"8,29%"
"2017/01/09";"3,433258";"8383530568";"0";"-7472456,69";"-0,09%";"-0,03%";"0,77%";"5,17%";"6,89%";"10,99%";"8,26%"
"2017/01/06";"3,447459";"8425710767";"0";"-22105365,44";"-0,26%";"0,09%";"1,37%";"5,48%";"7,23%";"11,2%";"8,31%"
"2017/01/05";"3,454404";"8464834488";"0";"22226887,33";"0,26%";"0,28%";"1,91%";"5,6%";"7,37%";"11,63%";"8,33%"
"2017/01/04";"3,45443";"8442671145";"0";"-1253202,3";"-0,01%";"0,21%";"1,98%";"5,59%";"7,37%";"11,45%";"8,31%"
"2017/01/03";"3,458194";"8453124977";"0";"-14127830,76";"-0,17%";"0,3%";"2,1%";"5,73%";"7,41%";"11,26%";"8,32%"
"2017/01/02";"3,466066";"8486527092";"0";"1954564,21";"0,02%";"0,52%";"2,33%";"5,97%";"7,53%";"11,13%";"8,36%"
"2016/12/30";"3,461909";"8474396620";"0";"1210366,52";"0,01%";"0,4%";"2,65%";"5,85%";"7,45%";"11%";"8,37%"
"2016/12/29";"3,460136";"8468846752";"0";"-609128,07";"-0,01%";"0,29%";"2,62%";"5,8%";"";"10,97%";"8,37%"
"2016/12/28";"3,458108";"8464491897";"0";"-4640932,37";"-0,05%";"0,25%";"2,77%";"5,7%";"7,44%";"10,78%";"8,37%"
"2016/12/27";"3,45688";"8466125377";"0";"-2887654,72";"-0,03%";"0,08%";"3,04%";"5,78%";"7,43%";"10,71%";"8,36%"
"2016/12/23";"3,459397";"8475179432";"0";"5769275,26";"0,07%";"0,17%";"2,79%";"5,86%";"7,46%";"10,78%";"8,37%"
"2016/12/22";"3,457077";"8463730256";"0";"3752503,58";"0,04%";"0,12%";"2,98%";"5,88%";"7,53%";"10,78%";"8,36%"
"2016/12/21";"3,459479";"8465855801";"0";"-6134292,17";"-0,07%";"0,3%";"3,14%";"6,07%";"7,55%";"10,56%";"8,38%"
"2016/12/20";"3,445781";"8438444776";"0";"9771,73";"0%";"-0,1%";"2,84%";"6,03%";"7,41%";"10,52%";"8,35%"
"2016/12/19";"3,434496";"8410798965";"0";"10564164,14";"0,13%";"-0,38%";"2,75%";"5,68%";"7,27%";"10,43%";"8,31%"
"2016/12/16";"3,42772";"8383661775";"0";"2332952,6";"0,03%";"-0,14%";"2,57%";"5,95%";"7,21%";"10,4%";"8,29%"
"2016/12/15";"3,420793";"8364391189";"0";"765242,86";"0,01%";"-0,21%";"2,28%";"5,92%";"7,3%";"10,29%";"8,27%"
"2016/12/14";"3,430402";"8387119353";"0";"43746,13";"0%";"0,03%";"2,5%";"5,99%";"7,4%";"10,41%";"8,3%"
"2016/12/13";"3,429427";"8384691805";"0";"6352273,88";"0,08%";"-0,07%";"2,24%";"5,9%";"7,39%";"10,35%";"8,32%"
"2016/12/12";"3,42039";"8356261483";"0";"-3563466,52";"-0,04%";"-0,17%";"1,81%";"5,62%";"7,28%";"10,28%";"8,34%"
"2016/12/09";"3,420272";"8359536544";"0";"-16985204,22";"-0,2%";"-0,33%";"1,82%";"5,11%";"7,19%";"10,18%";"8,35%"
"2016/12/08";"3,419686";"8375086587";"0";"408718,97";"0%";"-0,49%";"2,16%";"5,15%";"7,37%";"10,2%";"8,35%"
"2016/12/07";"3,415115";"8363483667";"0";"-14504415,9";"-0,17%";"-0,51%";"2,2%";"5,11%";"7,32%";"10,05%";"8,34%"
"2016/12/06";"3,404087";"8350934103";"0";"-751889,81";"-0,01%";"-0,62%";"1,95%";"4,91%";"7,21%";"9,96%";"8,3%"
"2016/12/05";"3,395816";"8331393681";"0";"-9558577,75";"-0,11%";"-0,78%";"1,85%";"4,66%";"7,14%";"9,84%";"8,28%"
"2016/12/02";"3,392631";"8333129122";"0";"7556481,72";"0,09%";"-0,82%";"1,83%";"3,91%";"7,33%";"9,97%";"8,27%"
"2016/12/01";"3,402037";"8348655120";"0";"-4528290,17";"-0,05%";"-0,82%";"2,06%";"3,95%";"7,47%";"10,15%";"8,3%"
"2016/11/30";"3,414798";"8384516101";"0";"12120518,74";"0,14%";"-0,57%";"2,28%";"4,25%";"7,6%";"10,38%";"8,33%"
"2016/11/29";"3,410726";"8362411860";"0";"-1128940,52";"-0,01%";"-0,61%";"2,19%";"4,1%";"7,56%";"10,63%";"8,32%"
"2016/11/28";"3,406132";"8352275719";"0";"-31991569,98";"-0,38%";"-0,75%";"2,06%";"3,96%";"7,44%";"10,42%";"8,32%"
"2016/11/25";"3,39592";"8359130231";"0";"-856283,27";"-0,01%";"-1,02%";"1,68%";"3,61%";"7,38%";"10,69%";"8,3%"
"2016/11/24";"3,392015";"8350373288";"0";"-27385056,87";"-0,33%";"-1,31%";"1,36%";"3,5%";"7,29%";"10,08%";"8,29%"
"2016/11/23";"3,387345";"8366224159";"0";"-1306948,4";"-0,02%";"-1,45%";"1,22%";"3,2%";"7,24%";"9,88%";"8,25%"
"2016/11/22";"3,387983";"8369107116";"0";"2527251,51";"0,03%";"-1,49%";"1,52%";"3,3%";"7,25%";"9,77%";"8,24%"
"2016/11/21";"3,37747";"8340618148";"0";"-10482875,69";"-0,13%";"-1,8%";"1,2%";"2,98%";"7,15%";"9,72%";"8,2%"
"2016/11/18";"3,374696";"8344242057";"0";"-8317757,26";"-0,1%";"-1,81%";"1,05%";"3,24%";"7,01%";"9,63%";"8,25%"
"2016/11/17";"3,383578";"8374543257";"0";"-17456408,33";"-0,21%";"-1,44%";"1,3%";"3,48%";"7,2%";"9,96%";"8,28%"
"2016/11/16";"3,381806";"8387604725";"0";"-29224803,79";"-0,35%";"-1,6%";"1,28%";"3,56%";"7,18%";"9,9%";"8,29%"
"2016/11/15";"3,392";"8442200931";"0";"16380332,82";"0,19%";"-1,27%";"1,59%";"4,13%";"7,29%";"9,94%";"8,33%"
"2016/11/14";"3,382213";"8401509423";"0";"10896311,67";"0,13%";"-1,4%";"1,29%";"3,83%";"7,18%";"9,84%";"8,34%"
"2016/11/11";"3,399791";"8434220713";"0";"10186205,6";"0,12%";"-0,9%";"1,57%";"4,39%";"7,42%";"9,7%";"8,42%"
"2016/11/10";"3,406471";"8440586275";"0";"4148579,25";"0,05%";"-0,58%";"1,67%";"4,59%";"7,33%";"9,67%";"8,44%"
"2016/11/09";"3,434837";"8506688695";"0";"1800759,84";"0,02%";"0,38%";"2,32%";"5,35%";"7,63%";"9,87%";"8,53%"
"2016/11/08";"3,439404";"8516196135";"0";"2457205,04";"0,03%";"0,68%";"2,46%";"5,35%";"7,68%";"9,83%";"8,56%"
"2016/11/07";"3,443869";"8524791381";"0";"14014601,47";"0,16%";"0,83%";"2,59%";"5,48%";"7,64%";"9,87%";"8,57%"
"2016/11/04";"3,441155";"8504069716";"0";"-7868133,81";"-0,09%";"0,96%";"2,86%";"5,41%";"7,7%";"9,92%";"8,57%"
"2016/11/03";"3,442543";"8515371165";"0";"7114459,28";"0,08%";"0,93%";"2,68%";"5,54%";"7,65%";"9,93%";"8,58%"
"2016/11/02";"3,442774";"8508827623";"0";"591049,65";"0,01%";"0,61%";"2,8%";"5,54%";"7,66%";"9,82%";"8,58%"
"2016/10/28";"3,445872";"8515892759";"0";"-12596764,4";"-0,15%";"0,56%";"2,65%";"5,36%";"7,65%";"9,65%";"8,61%"
"2016/10/27";"3,448665";"8535402163";"0";"6793441,62";"0,08%";"0,89%";"2,52%";"5,53%";"7,66%";"9,72%";"8,62%"
"2016/10/26";"3,454546";"8543152537";"0";"19816871,47";"0,23%";"1,07%";"2,01%";"5,75%";"7,73%";"9,67%";"8,61%"
"2016/10/25";"3,458345";"8532708866";"0";"3240794,35";"0,04%";"1,43%";"1,94%";"6,21%";"7,77%";"9,7%";"8,67%"
"2016/10/24";"3,456642";"8525267888";"0";"-6097610,74";"-0,07%";"1,41%";"1,85%";"6,16%";"7,71%";"9,78%";"8,71%"
"2016/10/21";"3,450084";"8515179647";"0";"9381557,58";"0,11%";"1,15%";"1,54%";"5,97%";"7,78%";"9,8%";"8,66%"
"2016/10/20";"3,444212";"8491321327";"0";"-13985588,73";"-0,16%";"0,88%";"1,37%";"5,76%";"7,77%";"9,75%";"8,65%"
"2016/10/19";"3,437954";"8489853102";"0";"2642258,38";"0,03%";"0,48%";"1,17%";"5,46%";"7,71%";"9,66%";"8,65%"
"2016/10/18";"3,432512";"8473776283";"0";"-17495450,93";"-0,21%";"0,26%";"1,16%";"5,23%";"7,65%";"9,64%";"8,67%"
"2016/10/17";"3,426672";"8476824872";"0";"5294648,15";"0,06%";"-0,06%";"0,91%";"5,06%";"7,67%";"9,51%";"8,64%"
"2016/10/14";"3,42629";"8470585831";"0";"7534551,14";"0,09%";"-0,05%";"0,93%";"4,84%";"7,78%";"9,57%";"8,65%"
"2016/10/13";"3,427516";"8466079541";"0";"-7329262,95";"-0,09%";"0,32%";"1,01%";"4,74%";"7,78%";"9,62%";"8,65%"
"2016/10/12";"3,425812";"8469196223";"0";"12523682,56";"0,15%";"0,28%";"1,35%";"4,74%";"7,76%";"9,62%";"8,67%"
"2016/10/11";"3,428095";"8462308163";"0";"2756479,68";"0,03%";"0,58%";"1,44%";"4,57%";"7,79%";"9,71%";"8,68%"
"2016/10/10";"3,43313";"8471976614";"0";"40192839,07";"0,48%";"0,77%";"1,94%";"4,73%";"7,94%";"9,77%";"8,74%"
"2016/10/07";"3,434394";"8434888165";"0";"17877842,75";"0,21%";"0,95%";"1,82%";"5,02%";"8,08%";"9,91%";"8,8%"
"2016/10/06";"3,444384";"8441493807";"0";"16573147,4";"0,2%";"1,27%";"2,07%";"5,32%";"8,2%";"10,01%";"8,83%"
"2016/10/05";"3,444594";"8425434317";"0";"-11190463,3";"-0,13%";"1,62%";"1,9%";"5,45%";"8,2%";"10,09%";"8,84%"
"2016/10/04";"3,44725";"8443129952";"0";"6608806,43";"0,08%";"1,77%";"1,83%";"5,69%";"8,23%";"10,28%";"8,85%"
"2016/10/03";"3,447715";"8437659149";"0";"9828657,65";"0,12%";"1,79%";"1,79%";"5,71%";"8,18%";"10,18%";"8,83%"
