"Letöltés idõpontja";"2017.06.08. 23:41"
"Alap neve:";"Concorde Rövid Futamidejû Kötvény Befektetési Alap"
"Befektetési sorozat megjelölése:";""
"Befektetési jegy devizaneme:";"HUF"
"Kategória:";"Rövid kötvény"
"Földrajzi kitettség:";"Hazai"
"Devizális kitettség:";"HUF"
"Egyéb jellemzõ kitettség:";""
"Hozam/kockázat mutató:";"0"
"Bef. politika rövid leírása:";"Az Alapkezelõ célja, hogy a befektetési lehetõségek figyelembevételével az Alap portfoliójának döntõ többségét alacsony kockázatú forintban denominált fix vagy változó kamatozású, alacsony kockázatú értékpapírokba fektetve, valamint az azonnali és határidõs részvénypiaci férleárazásokat kihasználó arbitrázsügyletekkel a benchmark (RMAX Index) teljesítményét meghaladó hozamot érjen el. Az Alapkezelõ elsõsorban a rövid futamidejû magyar állampapírokba történõ befektetést szeretné alacsony költségszint mellett a Befektetési Jegyek tulajdonosainak elérhetõvé tenni.

Az Alapkezelõ törekszik arra, hogy kihasználva a piaci félreárazásokat, részvényeket vásároljon és az ezekbõl származó piaci kockázatokat (elsõsorban árfolyamkockázatot) arbitrázs (fedezeti) ügyletek megkötésével csökkentse és amennyiben ez lehetséges, teljesen kiküszöbölje. Az Alapkezelõ célja, hogy fedezeti üzletek kötésével az Alap mûködési költségeit ellensúlyozza, így a befektetõk nettó hozama hosszabb távon elérje vagy meghaladja a referencia teljesítményét.

Az Alapkezelõ az Alap eszközeit legfõképpen a Magyar Állam által kibocsátott államkötvényekben, diszkontkincstárjegyekben, alacsony kockázatú fix és változó kamatozású vállalati kötvényekben, jelzáloglevelekben, egyéb hitelviszonyt megtestesítõ értékpapírokban valamint olyan részvényekben igyekszik tartani, amelyek piaci kockázata határidõs eladással csökkentett. Ezen kívül az Alapkezelõ az Alap portfoliójának 10 százalékáig alacsony piaci kockázati szintû befektetési alapot is vásárolhat. Megfelelõ részvénypiaci helyzet esetén olyan részvényeket vásárolhat az Alapkezelõ az Alap portfoliójába, amelyek árfolyamkockázatát határidõs eladásokkal csökkenti, illetve amennyiben lehetséges teljesen megszünteti. Ezen fedezeti ügyletek árfolyamértéke nem haladhatja meg az Alap portfoliójának 60 százalékát. A fedezetlen részvények árfolyamértéke nem haladhatja meg az Alap portfoliójának 5 százalékát."
"Alap típusa:";"Nyilvános nyíltvégû"
"Alap fajtája:";"Értékpapíralap"
"Alap indulási dátuma:";"1998/05/11"
"Alapkezelõ:";"Concorde Alapkezelõ Zrt."
"Letétkezelõ:";"UniCredit Bank Hungary Zrt."
"1 éves szórás:";"0,94%"
"5 éves szórás:";"1,2%"
"Dátum";"Árfolyam";"NEÉ";"Kifizetett hozam";"Napi befjegy. forgalom";"Napi befjegy. forgalom változás(%)";"3 hónapos hozam";"6 hónapos hozam";"1 éves hozam";"3 éves hozam";"5 éves hozam";"10 éves hozam"
"2017/06/07";"4,301192";"14558004375";"0";"-9859766,37";"-0,07%";"0,81%";"0,96%";"2,31%";"2,8%";"5,49%";"6,46%"
"2017/06/06";"4,300757";"14566390824";"0";"-35184744,27";"-0,24%";"0,8%";"1,04%";"2,31%";"2,8%";"5,54%";"6,45%"
"2017/06/02";"4,299317";"14596686599";"0";"-5133173,21";"-0,04%";"0,77%";"1,08%";"2,34%";"2,85%";"5,54%";"6,46%"
"2017/06/01";"4,30009";"14604445121";"0";"-102638501,04";"-0,7%";"0,76%";"1,02%";"2,34%";"2,9%";"5,54%";"6,46%"
"2017/05/31";"4,300184";"14707405119";"0";"-11162405,76";"-0,08%";"0,7%";"0,96%";"2,34%";"2,91%";"5,51%";"6,48%"
"2017/05/30";"4,299459";"14716086012";"0";"-10974177,81";"-0,07%";"0,68%";"0,95%";"2,28%";"2,9%";"5,5%";"6,47%"
"2017/05/29";"4,298918";"14725207087";"0";"-24362205,55";"-0,17%";"0,67%";"0,99%";"2,29%";"2,9%";"5,5%";"6,49%"
"2017/05/26";"4,300452";"14754832440";"0";"-39225312,96";"-0,27%";"0,77%";"1,16%";"2,33%";"2,97%";"5,52%";"6,5%"
"2017/05/25";"4,300307";"14793558936";"0";"-6921916,9";"-0,05%";"0,77%";"1,15%";"2,32%";"2,99%";"5,52%";"6,5%"
"2017/05/24";"4,299652";"14798226522";"0";"-10185144,08";"-0,07%";"0,76%";"1,15%";"2,23%";"2,99%";"5,52%";"6,47%"
"2017/05/23";"4,296779";"14798516780";"0";"-10717609,76";"-0,07%";"0,68%";"1,11%";"2,17%";"2,96%";"5,52%";"6,47%"
"2017/05/22";"4,295528";"14804922706";"0";"-3452417,73";"-0,02%";"0,69%";"1,08%";"2,21%";"2,98%";"5,51%";"6,47%"
"2017/05/19";"4,293897";"14802752425";"0";"-10685293,01";"-0,07%";"0,68%";"1,11%";"2,23%";"2,97%";"5,55%";"6,48%"
"2017/05/18";"4,295642";"14819457762";"0";"-12666907,53";"-0,09%";"0,72%";"1,15%";"2,19%";"2,97%";"5,55%";"6,48%"
"2017/05/17";"4,294186";"14827097348";"0";"-3392243,08";"-0,02%";"0,68%";"1,08%";"2,16%";"2,96%";"5,54%";"6,46%"
"2017/05/16";"4,295478";"14834951669";"0";"-4391733,66";"-0,03%";"0,74%";"1,12%";"2,2%";"2,97%";"5,53%";"6,47%"
"2017/05/15";"4,2933";"14831819190";"0";"9354031,98";"0,06%";"0,68%";"1,02%";"2,15%";"2,93%";"5,5%";"6,47%"
"2017/05/12";"4,292333";"14819126625";"0";"129311027,16";"0,88%";"0,63%";"0,97%";"2,07%";"3,04%";"5,51%";"6,48%"
"2017/05/11";"4,292097";"14689007926";"0";"-7680683,38";"-0,05%";"0,62%";"0,96%";"2,06%";"3,05%";"5,51%";"6,48%"
"2017/05/10";"4,288956";"14685933424";"0";"-5515056,15";"-0,04%";"0,55%";"0,83%";"1,96%";"3,02%";"5,51%";"6,46%"
"2017/05/09";"4,286398";"14682686272";"0";"-129452629,64";"-0,87%";"0,48%";"0,62%";"1,83%";"3%";"5,5%";"6,45%"
"2017/05/08";"4,28551";"14809070316";"0";"-6269408,95";"-0,04%";"0,5%";"0,6%";"1,83%";"3%";"5,51%";"6,46%"
"2017/05/05";"4,283482";"14808328772";"0";"-229544804,52";"-1,53%";"0,42%";"0,56%";"1,83%";"3,04%";"5,53%";"6,46%"
"2017/05/04";"4,282592";"15034749084";"0";"-19236190,11";"-0,13%";"0,4%";"0,54%";"1,86%";"3,03%";"5,52%";"6,46%"
"2017/05/03";"4,282604";"15054027456";"0";"4660421,6";"0,03%";"0,4%";"0,53%";"1,8%";"3,03%";"5,53%";"6,47%"
"2017/05/02";"4,282295";"15048281187";"0";"349792790,5";"2,38%";"0,35%";"0,52%";"1,82%";"3,03%";"5,54%";"6,48%"
"2017/04/28";"4,282667";"14699765244";"0";"-7183910,92";"-0,05%";"0,39%";"0,5%";"1,77%";"3,11%";"5,57%";"6,48%"
"2017/04/27";"4,279852";"14697282267";"0";"-3039851,45";"-0,02%";"0,32%";"0,4%";"1,63%";"3,08%";"5,55%";"6,48%"
"2017/04/26";"4,277117";"14690928013";"0";"-20115718,72";"-0,14%";"0,25%";"0,32%";"1,39%";"3,06%";"5,55%";"6,48%"
"2017/04/25";"4,278578";"14716068807";"0";"-2355465,77";"-0,02%";"0,29%";"0,35%";"1,38%";"3,07%";"5,55%";"6,49%"
"2017/04/24";"4,277332";"14714137999";"0";"-8592973,79";"-0,06%";"0,24%";"0,34%";"1,36%";"3,07%";"5,64%";"6,49%"
"2017/04/21";"4,277726";"14724087135";"0";"-1329806,3";"-0,01%";"0,27%";"0,41%";"1,34%";"3,17%";"5,67%";"6,49%"
"2017/04/20";"4,279077";"14730067552";"0";"-234720,62";"-0%";"0,3%";"0,49%";"1,37%";"3,18%";"5,68%";"6,5%"
"2017/04/19";"4,278615";"14728711883";"0";"-6137332,22";"-0,04%";"0,26%";"0,53%";"1,36%";"3,18%";"5,67%";"6,51%"
"2017/04/18";"4,277432";"14730775157";"0";"-10464184,75";"-0,07%";"0,24%";"0,55%";"1,39%";"3,17%";"5,68%";"6,51%"
"2017/04/13";"4,278215";"14743937781";"0";"-15748537,74";"-0,11%";"0,23%";"0,61%";"1,42%";"3,2%";"5,7%";"6,51%"
"2017/04/12";"4,277382";"14756812499";"0";"-2398968,09";"-0,02%";"0,21%";"0,6%";"1,52%";"3,19%";"5,7%";"6,51%"
"2017/04/11";"4,276644";"14756664980";"0";"3436075,46";"0,02%";"0,23%";"0,58%";"1,51%";"3,19%";"5,69%";"6,53%"
"2017/04/10";"4,276965";"14754336265";"0";"-3360235,08";"-0,02%";"0,3%";"0,56%";"1,62%";"3,19%";"5,72%";"6,53%"
"2017/04/07";"4,276061";"14754577242";"0";"-34685682,73";"-0,23%";"0,13%";"0,53%";"1,57%";"3,23%";"5,71%";"6,54%"
"2017/04/06";"4,276545";"14790936896";"0";"-8123737,54";"-0,05%";"0,14%";"0,49%";"1,58%";"3,24%";"5,71%";"6,54%"
"2017/04/05";"4,275762";"14796351048";"0";"-28169717,44";"-0,19%";"0,11%";"0,47%";"1,52%";"3,23%";"5,71%";"6,55%"
"2017/04/04";"4,276389";"14826694641";"0";"5012199537,7";"51,05%";"0,12%";"0,47%";"1,5%";"3,24%";"5,7%";"6,54%"
"2017/04/03";"4,278258";"9818784538";"0";"-4732068";"-0,05%";"0,13%";"0,52%";"1,53%";"3,26%";"5,71%";"6,55%"
"2017/03/31";"4,275575";"9817356039";"0";"444926,57";"0%";"0,08%";"0,46%";"1,43%";"3,26%";"5,72%";"6,56%"
"2017/03/30";"4,275431";"9816580482";"0";"-16717192,95";"-0,17%";"0,08%";"0,46%";"1,4%";"3,27%";"5,72%";"6,56%"
"2017/03/29";"4,273818";"9829587848";"0";"-4045872,65";"-0,04%";"0,06%";"0,41%";"1,38%";"3,25%";"5,71%";"6,56%"
"2017/03/28";"4,271675";"9828702889";"0";"129485884,2";"1,33%";"0,02%";"0,39%";"1,37%";"3,24%";"5,7%";"6,56%"
"2017/03/27";"4,272861";"9701909923";"0";"-14597361,13";"-0,15%";"0,05%";"0,4%";"1,4%";"3,28%";"5,72%";"6,56%"
"2017/03/24";"4,269436";"9708718817";"0";"-10791142,24";"-0,11%";"-0,05%";"0,33%";"1,32%";"3,27%";"5,7%";"6,55%"
"2017/03/23";"4,268061";"9716379727";"0";"-12293625,31";"-0,13%";"-0,09%";"0,3%";"1,3%";"3,26%";"5,69%";"6,55%"
"2017/03/22";"4,266922";"9726077101";"0";"-465270,14";"-0%";"-0,09%";"0,29%";"1,44%";"3,26%";"5,69%";"6,55%"
"2017/03/21";"4,262406";"9716248050";"0";"-45689995,36";"-0,47%";"-0,17%";"0,2%";"1,31%";"3,22%";"5,68%";"6,54%"
"2017/03/20";"4,263047";"9763406090";"0";"-3297508,01";"-0,03%";"-0,03%";"0,23%";"1,38%";"3,24%";"5,68%";"6,55%"
"2017/03/17";"4,262301";"9764994501";"0";"-328200,57";"-0%";"0,12%";"0,34%";"1,38%";"3,29%";"5,68%";"6,58%"
"2017/03/16";"4,262807";"9766481994";"0";"-9509874,63";"-0,1%";"0,14%";"0,35%";"1,46%";"3,31%";"5,68%";"6,58%"
"2017/03/14";"4,263459";"9777487115";"0";"-90934486,11";"-0,92%";"-0,1%";"0,38%";"1,53%";"3,32%";"5,68%";"6,58%"
"2017/03/13";"4,263488";"9868488726";"0";"7097771,78";"0,07%";"-0,08%";"0,36%";"1,53%";"3,31%";"5,69%";"6,58%"
"2017/03/10";"4,262228";"9858476591";"0";"48043294,76";"0,49%";"-0,01%";"0,35%";"1,48%";"3,31%";"5,7%";"6,59%"
"2017/03/09";"4,264785";"9816318781";"0";"4373372,88";"0,04%";"0,05%";"0,41%";"1,65%";"3,33%";"5,71%";"6,59%"
"2017/03/08";"4,265941";"9814605005";"0";"183860157,91";"1,91%";"0,09%";"0,41%";"1,64%";"3,34%";"5,74%";"6,61%"
"2017/03/07";"4,266792";"9632666056";"0";"-443480,77";"-0%";"0,15%";"0,48%";"1,41%";"3,34%";"5,72%";"6,62%"
"2017/03/06";"4,266739";"9632989879";"0";"-7090305,2";"-0,07%";"0,24%";"0,53%";"1,47%";"3,34%";"5,73%";"6,62%"
"2017/03/03";"4,266429";"9639379784";"0";"-7276205,43";"-0,08%";"0,31%";"0,55%";"1,47%";"3,42%";"5,78%";"6,63%"
"2017/03/02";"4,266504";"9646825569";"0";"-7115091,54";"-0,07%";"0,31%";"0,56%";"1,5%";"3,41%";"5,78%";"6,63%"
"2017/03/01";"4,267733";"9656721554";"0";"-1909841,17";"-0,02%";"0,26%";"0,52%";"1,45%";"3,42%";"5,78%";"6,64%"
"2017/02/28";"4,270361";"9664579022";"0";"-21116969,61";"-0,22%";"0,38%";"0,59%";"1,58%";"3,44%";"5,85%";"6,63%"
"2017/02/27";"4,269068";"9682763311";"0";"-4608764,14";"-0,05%";"0,42%";"0,56%";"1,55%";"3,43%";"5,9%";"6,64%"
"2017/02/24";"4,267428";"9683650586";"0";"-6737090,2";"-0,07%";"0,39%";"0,47%";"1,5%";"3,43%";"5,88%";"6,65%"
"2017/02/23";"4,267574";"9690719210";"0";"-4635269,3";"-0,05%";"0,42%";"0,48%";"1,61%";"3,44%";"5,89%";"6,65%"
"2017/02/22";"4,266252";"9692351073";"0";"-26814031,96";"-0,28%";"0,39%";"0,42%";"1,59%";"3,43%";"5,87%";"6,64%"
"2017/02/21";"4,264932";"9716157946";"0";"-1900061,14";"-0,02%";"0,43%";"0,39%";"1,64%";"3,42%";"5,85%";"6,64%"
"2017/02/20";"4,264811";"9717782297";"0";"-41669066,53";"-0,43%";"0,43%";"0,39%";"1,63%";"3,45%";"5,85%";"6,65%"
"2017/02/17";"4,265085";"9760078376";"0";"-23936988,61";"-0,24%";"0,39%";"0,46%";"1,7%";"3,42%";"5,86%";"6,65%"
"2017/02/16";"4,264067";"9781680094";"0";"1422001,14";"0,01%";"0,38%";"0,4%";"1,69%";"3,42%";"5,84%";"6,65%"
"2017/02/15";"4,264281";"9780748933";"0";"-13504931,82";"-0,14%";"0,34%";"0,41%";"1,72%";"3,42%";"5,84%";"6,65%"
"2017/02/14";"4,26476";"9795354038";"0";"-2539795,44";"-0,03%";"0,41%";"0,49%";"1,79%";"3,42%";"5,9%";"6,66%"
"2017/02/13";"4,264156";"9796506199";"0";"-162967167,28";"-1,64%";"0,3%";"0,47%";"1,78%";"3,41%";"5,9%";"6,66%"
"2017/02/10";"4,265587";"9962815647";"0";"-107380059,37";"-1,07%";"0,28%";"0,54%";"1,85%";"3,45%";"5,96%";"6,67%"
"2017/02/09";"4,265933";"10071012543";"0";"-2126409,39";"-0,02%";"0,14%";"0,58%";"1,88%";"3,46%";"5,95%";"6,67%"
"2017/02/08";"4,2642";"10069046823";"0";"312337,16";"0%";"0,1%";"0,59%";"1,77%";"3,44%";"5,94%";"6,66%"
"2017/02/07";"4,265282";"10071289331";"0";"-8658796,7";"-0,09%";"0,09%";"0,64%";"1,81%";"3,45%";"5,99%";"6,67%"
"2017/02/06";"4,264718";"10078615252";"0";"-6354767,52";"-0,06%";"0,12%";"0,63%";"1,79%";"3,45%";"5,99%";"6,67%"
"2017/02/03";"4,265551";"10086939852";"0";"-1754260,61";"-0,02%";"0,13%";"0,69%";"1,75%";"3,51%";"6,05%";"6,68%"
"2017/02/02";"4,267302";"10092835501";"0";"-185333979,56";"-1,8%";"0,17%";"0,63%";"1,8%";"3,53%";"6,06%";"6,68%"
"2017/02/01";"4,26733";"10278236921";"0";"-4484767,08";"-0,04%";"0,14%";"0,58%";"1,77%";"3,53%";"6,1%";"6,69%"
"2017/01/31";"4,268624";"10285839760";"0";"-5901100,08";"-0,06%";"0,17%";"0,64%";"1,92%";"3,54%";"6,11%";"6,7%"
"2017/01/30";"4,266592";"10286841666";"0";"227752,36";"0%";"0,12%";"0,59%";"1,88%";"3,49%";"6,09%";"6,7%"
"2017/01/27";"4,266122";"10285480759";"0";"-185559683,07";"-1,77%";"0,08%";"0,65%";"2,05%";"3,38%";"6,09%";"6,71%"
"2017/01/26";"4,266288";"10471447883";"0";"-50696770,84";"-0,48%";"0,07%";"0,66%";"2,07%";"3,37%";"6,12%";"6,71%"
"2017/01/25";"4,2663";"10522174250";"0";"-4310611,03";"-0,04%";"0,06%";"0,74%";"2,08%";"3,37%";"6,18%";"6,71%"
"2017/01/24";"4,267104";"10528468616";"0";"143279113,14";"1,38%";"0,1%";"0,77%";"2,1%";"3,38%";"6,23%";"6,72%"
"2017/01/23";"4,266188";"10382960161";"0";"312986,52";"0%";"0,14%";"0,75%";"2,08%";"3,33%";"6,28%";"6,71%"
"2017/01/20";"4,266125";"10382493851";"0";"-24487220,15";"-0,24%";"0,19%";"0,69%";"2,08%";"3,39%";"6,31%";"6,7%"
"2017/01/19";"4,267643";"10410684150";"0";"-170530,77";"-0%";"0,27%";"0,68%";"2,18%";"3,4%";"6,35%";"6,71%"
"2017/01/18";"4,266991";"10409264136";"0";"1298467,44";"0,01%";"0,31%";"0,65%";"2,15%";"3,4%";"6,39%";"6,72%"
"2017/01/17";"4,268332";"10411236611";"0";"-96963822,08";"-0,92%";"0,38%";"0,65%";"2,13%";"3,41%";"6,42%";"6,72%"
"2017/01/16";"4,266647";"10504052134";"0";"-7766134,04";"-0,07%";"0,34%";"0,61%";"2,09%";"3,43%";"6,39%";"6,71%"
"2017/01/13";"4,268265";"10515804565";"0";"-2837269,56";"-0,03%";"0,37%";"0,79%";"2,13%";"3,49%";"6,4%";"6,78%"
"2017/01/12";"4,268214";"10518516151";"0";"1950911,22";"0,02%";"0,39%";"0,78%";"2,24%";"3,52%";"6,36%";"6,78%"
"2017/01/11";"4,267015";"10513610992";"0";"4909089,04";"0,05%";"0,35%";"0,84%";"2,33%";"3,51%";"6,41%";"6,77%"
"2017/01/10";"4,263962";"10501183048";"0";"-11995167,17";"-0,11%";"0,26%";"0,8%";"2,27%";"3,48%";"6,44%";"6,71%"
"2017/01/09";"4,266014";"10518237604";"0";"-19356,26";"-0%";"0,29%";"0,85%";"2,32%";"3,51%";"6,42%";"6,7%"
"2017/01/06";"4,27039";"10529046398";"0";"-12751879,81";"-0,12%";"0,34%";"1,02%";"2,4%";"3,62%";"6,45%";"6,72%"
"2017/01/05";"4,271151";"10543676867";"0";"9100572,39";"0,09%";"0,36%";"1,14%";"2,38%";"3,66%";"6,49%";"6,72%"
"2017/01/04";"4,271163";"10534605892";"0";"-3792940505,22";"-26,46%";"0,35%";"1,15%";"2,36%";"3,66%";"6,45%";"6,72%"
"2017/01/03";"4,272796";"14333024269";"0";"-65301698,63";"-0,45%";"0,39%";"1,19%";"2,4%";"3,67%";"6,43%";"6,73%"
"2017/01/02";"4,274145";"14402871783";"0";"11670958,99";"0,08%";"0,43%";"1,23%";"2,43%";"3,7%";"6,37%";"6,74%"
"2016/12/30";"4,272016";"14384032404";"0";"20356770,79";"0,14%";"0,38%";"1,29%";"2,38%";"3,7%";"6,33%";"6,75%"
"2016/12/29";"4,271067";"14360484838";"0";"25973049,05";"0,18%";"0,35%";"1,28%";"2,36%";"";"6,34%";"6,74%"
"2016/12/28";"4,270667";"14333169313";"0";"-496797441,44";"-3,35%";"0,37%";"1,33%";"2,35%";"3,7%";"6,29%";"6,74%"
"2016/12/27";"4,270755";"14830272336";"0";"-122718774,89";"-0,82%";"0,35%";"1,42%";"2,4%";"3,7%";"6,28%";"6,74%"
"2016/12/23";"4,271746";"14956460852";"0";"-1014482779,33";"-6,35%";"0,39%";"1,32%";"2,43%";"3,71%";"6,31%";"6,75%"
"2016/12/22";"4,270793";"15967380613";"0";"13318008,19";"0,08%";"0,38%";"1,39%";"2,42%";"3,74%";"6,3%";"6,75%"
"2016/12/21";"4,269767";"15950229858";"0";"22821984,29";"0,14%";"0,38%";"1,4%";"2,45%";"3,73%";"6,27%";"6,76%"
"2016/12/20";"4,264145";"15906436264";"0";"-744603539,19";"-4,48%";"0,26%";"1,27%";"2,39%";"3,68%";"6,25%";"6,75%"
"2016/12/19";"4,258645";"16629562879";"0";"6292330,47";"0,04%";"0,13%";"1,2%";"2,25%";"3,64%";"6,23%";"6,74%"
"2016/12/16";"4,257028";"16616958722";"0";"-2225040,25";"-0,01%";"0,22%";"1,18%";"2,33%";"3,64%";"6,21%";"6,73%"
"2016/12/15";"4,264319";"16647647392";"0";"-58911642,83";"-0,35%";"0,41%";"1,33%";"2,55%";"3,74%";"6,26%";"6,75%"
"2016/12/14";"4,267557";"16719244727";"0";"32406456,14";"0,19%";"0,48%";"1,39%";"2,56%";"3,76%";"6,29%";"6,79%"
"2016/12/13";"4,267051";"16684859729";"0";"-26356604,27";"-0,16%";"0,45%";"1,31%";"2,54%";"3,76%";"6,27%";"6,8%"
"2016/12/12";"4,263742";"16698257169";"0";"-11073396,25";"-0,07%";"0,41%";"1,21%";"2,47%";"3,73%";"6,25%";"6,78%"
"2016/12/09";"4,262518";"16704533788";"0";"483070,06";"0%";"0,36%";"1,2%";"2,38%";"3,72%";"6,23%";"6,78%"
"2016/12/08";"4,26227";"16703078850";"0";"3189497,07";"0,02%";"0,32%";"1,32%";"2,38%";"3,79%";"6,22%";"6,78%"
"2016/12/07";"4,260258";"16692006188";"0";"6114604,25";"0,04%";"0,32%";"1,34%";"2,36%";"3,77%";"6,22%";"6,78%"
"2016/12/06";"4,256368";"16670655859";"0";"-6772820,27";"-0,04%";"0,28%";"1,26%";"2,3%";"3,74%";"6,19%";"6,77%"
"2016/12/05";"4,254197";"16668922202";"0";"2058791,33";"0,01%";"0,25%";"1,26%";"2,25%";"3,72%";"6,16%";"6,77%"
"2016/12/02";"4,253294";"16663325686";"0";"-6630766,3";"-0,04%";"0,24%";"1,25%";"2,07%";"3,77%";"6,21%";"6,78%"
"2016/12/01";"4,256493";"16682494309";"0";"-1933006,27";"-0,01%";"0,26%";"1,3%";"2,12%";"3,82%";"6,29%";"6,79%"
"2016/11/30";"4,259118";"16694716683";"0";"-16274897,71";"-0,1%";"0,29%";"1,32%";"2,17%";"3,84%";"6,36%";"6,79%"
"2016/11/29";"4,256806";"16701920263";"0";"-1533302,36";"-0,01%";"0,26%";"1,29%";"2,11%";"3,82%";"6,41%";"6,79%"
"2016/11/28";"4,254391";"16693977249";"0";"-13866883,05";"-0,08%";"0,22%";"1,23%";"2,05%";"3,82%";"6,36%";"6,79%"
"2016/11/25";"4,251325";"16695803337";"0";"-15104038,51";"-0,09%";"0,15%";"1,16%";"1,98%";"3,83%";"6,39%";"6,79%"
"2016/11/24";"4,250773";"16708737600";"0";"-11396284,99";"-0,07%";"0,08%";"1,06%";"1,96%";"3,83%";"6,22%";"6,79%"
"2016/11/23";"4,249611";"16715563235";"0";"-44606318,74";"-0,27%";"0,05%";"1,04%";"1,9%";"3,82%";"6,17%";"6,78%"
"2016/11/22";"4,249722";"16760607330";"0";"-8945304,22";"-0,05%";"0,03%";"1,12%";"1,94%";"3,82%";"6,15%";"6,78%"
"2016/11/21";"4,246705";"16757647446";"0";"24170599,07";"0,14%";"-0,03%";"1,05%";"1,87%";"3,82%";"6,15%";"6,77%"
"2016/11/18";"4,246647";"16733248307";"0";"16590119,06";"0,1%";"-0%";"1,03%";"1,93%";"3,82%";"6,14%";"6,8%"
"2016/11/17";"4,248494";"16723928787";"0";"15633078,46";"0,09%";"0,07%";"1,07%";"1,97%";"3,86%";"6,23%";"6,8%"
"2016/11/16";"4,24787";"16705841668";"0";"-7184359,24";"-0,04%";"0,02%";"1,07%";"1,99%";"3,85%";"6,19%";"6,8%"
"2016/11/15";"4,249916";"16721075909";"0";"37036698,75";"0,22%";"0,08%";"1,12%";"2,1%";"3,87%";"6,19%";"6,81%"
"2016/11/14";"4,247358";"16673997183";"0";"10745951,66";"0,06%";"0,08%";"1,06%";"2,04%";"3,87%";"6,17%";"6,81%"
"2016/11/11";"4,251276";"16678622344";"0";"-152827561,95";"-0,91%";"0,18%";"1,09%";"2,15%";"3,95%";"6,12%";"6,83%"
"2016/11/10";"4,253821";"16841525949";"0";"1791200,83";"0,01%";"0,26%";"1,12%";"2,21%";"3,94%";"6,11%";"6,84%"
"2016/11/09";"4,259864";"16863657362";"0";"4569757,61";"0,03%";"0,43%";"1,2%";"2,33%";"3,99%";"6,11%";"6,85%"
"2016/11/08";"4,26012";"16860100765";"0";"282233,61";"0%";"0,49%";"1,23%";"2,32%";"3,99%";"6,11%";"6,86%"
"2016/11/07";"4,261355";"16864706158";"0";"9119973,24";"0,05%";"0,55%";"1,26%";"2,35%";"3,99%";"6,12%";"6,86%"
"2016/11/04";"4,259476";"16848153890";"0";"140611065,8";"0,84%";"0,58%";"1,31%";"2,32%";"4,08%";"6,13%";"6,87%"
"2016/11/03";"4,260156";"16710210084";"0";"-5871381,65";"-0,04%";"0,56%";"1,26%";"2,36%";"4,09%";"6,14%";"6,87%"
"2016/11/02";"4,260143";"16716030456";"0";"15603978,33";"0,09%";"0,46%";"1,3%";"2,37%";"4,09%";"6,12%";"6,87%"
"2016/10/28";"4,261463";"16705601084";"0";"4588225,03";"0,03%";"0,46%";"1,27%";"2,34%";"4,12%";"6,07%";"6,88%"
"2016/10/27";"4,262694";"16705837246";"0";"-544081,84";"-0%";"0,56%";"1,23%";"2,39%";"4,12%";"6,1%";"6,88%"
"2016/10/26";"4,263486";"16709485340";"0";"-3168618,97";"-0,02%";"0,59%";"1,07%";"2,42%";"4,13%";"6,07%";"6,87%"
"2016/10/25";"4,263768";"16713759385";"0";"-9932014,06";"-0,06%";"0,68%";"1,03%";"2,51%";"4,13%";"6,08%";"6,89%"
"2016/10/24";"4,262996";"16720663399";"0";"-6550076,42";"-0,04%";"0,67%";"1,02%";"2,49%";"4,12%";"6,1%";"6,91%"
"2016/10/21";"4,260123";"16715940351";"0";"8904860,61";"0,05%";"0,58%";"0,92%";"2,41%";"4,14%";"6,11%";"6,9%"
"2016/10/20";"4,25808";"16699023404";"0";"-2708096,23";"-0,02%";"0,5%";"0,87%";"2,37%";"4,14%";"6,1%";"6,89%"
"2016/10/19";"4,256251";"16694557500";"0";"-1523782,2";"-0,01%";"0,41%";"0,83%";"2,31%";"4,12%";"6,09%";"6,89%"
"2016/10/18";"4,253901";"16686862890";"0";"1879765,71";"0,01%";"0,34%";"0,83%";"2,24%";"4,11%";"6,08%";"6,9%"
"2016/10/17";"4,252135";"16678056381";"0";"4611973,78";"0,03%";"0,26%";"0,77%";"2,2%";"4,1%";"6,07%";"6,89%"
"2016/10/14";"4,252232";"16673824763";"0";"-3356234,59";"-0,02%";"0,29%";"0,78%";"2,15%";"4,15%";"6,09%";"6,9%"
"2016/10/13";"4,252383";"16677773217";"0";"-9317452,25";"-0,06%";"0,41%";"0,81%";"2,12%";"4,16%";"6,1%";"6,9%"
"2016/10/12";"4,251732";"16684536032";"0";"56899,51";"0%";"0,39%";"0,91%";"2,11%";"4,16%";"6,11%";"6,91%"
"2016/10/11";"4,252059";"16685762333";"0";"-38984325,15";"-0,23%";"0,49%";"0,93%";"2,08%";"4,16%";"6,13%";"6,92%"
"2016/10/10";"4,253077";"16728750787";"0";"-15637147,81";"-0,09%";"0,55%";"1,06%";"2,1%";"4,18%";"6,14%";"6,93%"
"2016/10/07";"4,253468";"16745927304";"0";"-4088215,99";"-0,02%";"0,61%";"1,03%";"2,17%";"4,23%";"6,16%";"6,95%"
"2016/10/06";"4,255783";"16759131913";"0";"31762404,26";"0,19%";"0,67%";"1,09%";"2,23%";"4,25%";"6,18%";"6,95%"
"2016/10/05";"4,255712";"16727090443";"0";"-3348418,91";"-0,02%";"0,78%";"1,05%";"2,24%";"4,25%";"6,19%";"6,96%"
"2016/10/04";"4,256243";"16732526377";"0";"12545072,67";"0,08%";"0,8%";"1,02%";"2,3%";"4,26%";"6,22%";"6,96%"
